title,episodes,type
Ben Ben Yu Jiling: Yishi Xingqiu Xin,27.0,tv
Ben Ben de Xingfu Shenghuo: Kaixin Linju,50.0,ona
Ben Ben de Xingfu Shenghuo: Xingfu Huayuan,50.0,ona
Bermuda Triangle: Colorful Pastrale,12.0,tv
Bernard-jou Iwaku.: Ofuro Dokusho,1.0,special
Berserk: Majo no Tsuisou,1.0,special
Berserk: Ougon Jidai-hen - Memorial Edition,13.0,tv
Berserk: Ougon Jidai-hen I - Haou no Tamago,1.0,movie
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,1.0,movie
Berserk: Ougon Jidai-hen III - Kourin,1.0,movie
Bessatsu Kamen Rider Saber: Tanpen Katsudou Manga Shuu,6.0,ona
BeyWarriors: Cyborg,26.0,ona
Bi-Indoushi Miija: Injoku no Gakuen,2.0,ova
Bi-chiku Beach: Nangoku Nyuujoku Satsueikai,1.0,ova
Biancheng Mao: Cheng Chang Riji,10.0,ona
Biao Ren: Blades of the Guardians,14.0,ona
Bible Black: Imari Ryoujoku Genba,1.0,special
Bible Black: New Testament,6.0,ova
Bible Black: New Testament Recap,1.0,ova
Big Wars: Kami Utsu Akaki Kouya ni,1.0,ova
